tx_name	gene_id	chrom	strand	nexon	tx_len	cds_len	utr5_len	utr3_len	gene_biotype	gene_name	gene_source	protein_id	transcript_biotype	transcript_name	transcript_source	ensembl_canonical	seleno
XM_016917946	LOC726320	CM009931.2	+	8	1349	1308	15	26	protein_coding		RefSeq	XP_016773435	protein_coding		RefSeq	False	False
XM_001122067	LOC726320	CM009931.2	+	8	1494	1329	139	26	protein_coding		RefSeq	XP_001122067	protein_coding		RefSeq	True	False
XM_026445073	LOC726320	CM009931.2	+	8	1383	1227	141	15	protein_coding		RefSeq	XP_026300858	protein_coding		RefSeq	False	False
XM_624357	LOC551974	CM009931.2	-	3	851	429	245	177	protein_coding		RefSeq	XP_624360	protein_coding		RefSeq	True	False
XM_006563214	LOC551974	CM009931.2	-	4	723	429	117	177	protein_coding		RefSeq	XP_006563277	protein_coding		RefSeq	False	False
XM_026444847	LOC726405	CM009931.2	-	7	2350	2028	259	63	protein_coding		RefSeq	XP_026300632	protein_coding		RefSeq	True	False
XM_026444848	LOC726405	CM009931.2	-	7	2124	2028	33	63	protein_coding		RefSeq	XP_026300633	protein_coding		RefSeq	False	False
XM_026444851	LOC726405	CM009931.2	-	7	2226	2028	135	63	protein_coding		RefSeq	XP_026300636	protein_coding		RefSeq	False	False
XR_407921	LOC102654759	CM009931.2	-	3	2111	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_003305921	LOC102654759	CM009931.2	-	3	1109	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XM_006562540	LOC551202	CM009931.2	-	7	1545	1269	155	121	protein_coding		RefSeq	XP_006562603	protein_coding		RefSeq	True	False
XM_016917743	LOC413357	CM009931.2	+	5	4919	2748	173	1998	protein_coding		RefSeq	XP_016773232	protein_coding		RefSeq	False	False
XM_396802	LOC413357	CM009931.2	+	4	4978	2808	172	1998	protein_coding		RefSeq	XP_396802	protein_coding		RefSeq	True	False
XM_001123248	LOC727539	CM009931.2	-	5	1456	1110	292	54	protein_coding		RefSeq	XP_001123248	protein_coding		RefSeq	True	False
XM_001121467	LOC725638	CM009931.2	+	3	1305	756	472	77	protein_coding		RefSeq	XP_001121467	protein_coding		RefSeq	True	False
XM_001120526	LOC724635	CM009931.2	+	5	1326	1245	30	51	protein_coding		RefSeq	XP_001120526	protein_coding		RefSeq	True	False
XM_006561946	LOC725532	CM009931.2	+	6	1597	996	240	361	protein_coding		RefSeq	XP_006562009	protein_coding		RefSeq	False	False
XM_001121365	LOC725532	CM009931.2	+	6	1600	999	240	361	protein_coding		RefSeq	XP_001121365	protein_coding		RefSeq	True	False
XM_396165	LOC412712	CM009931.2	+	7	1938	1716	136	86	protein_coding		RefSeq	XP_396165	protein_coding		RefSeq	True	False
XM_006571467	LOC412712	CM009931.2	+	7	1933	1506	136	291	protein_coding		RefSeq	XP_006571530	protein_coding		RefSeq	False	False
XM_026443780	LOC410761	CM009931.2	-	7	3028	1554	282	1192	protein_coding		RefSeq	XP_026299565	protein_coding		RefSeq	False	False
XM_026443778	LOC410761	CM009931.2	-	7	3037	1563	282	1192	protein_coding		RefSeq	XP_026299563	protein_coding		RefSeq	True	False
XM_016917174	LOC409546	CM009931.2	+	6	2424	831	1544	49	protein_coding		RefSeq	XP_016772663	protein_coding		RefSeq	True	False
XM_026439404	LOC409546	CM009931.2	+	5	1137	753	335	49	protein_coding		RefSeq	XP_026295189	protein_coding		RefSeq	False	False
XM_003251576	LOC725230	CM009931.2	-	1	542	312	55	175	protein_coding		RefSeq	XP_003251624	protein_coding		RefSeq	True	False
XM_016917830	LOC724538	CM009931.2	-	13	1795	1755	25	15	protein_coding		RefSeq	XP_016773319	protein_coding		RefSeq	True	False
XR_003305181	LOC102655275	CM009931.2	-	6	3802	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_001703070	LOC102655275	CM009931.2	-	6	4350	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_001703074	LOC102655275	CM009931.2	-	6	4363	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003305182	LOC102655275	CM009931.2	-	6	4266	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_001703075	LOC102655275	CM009931.2	-	6	4364	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_392119	LOC408577	CM009931.2	+	14	10311	3771	3204	3336	protein_coding		RefSeq	XP_392119	protein_coding		RefSeq	False	False
XM_026442592	LOC408577	CM009931.2	+	18	7205	2889	979	3337	protein_coding		RefSeq	XP_026298377	protein_coding		RefSeq	False	False
XM_016917733	LOC408577	CM009931.2	+	13	10408	3771	3301	3336	protein_coding		RefSeq	XP_016773222	protein_coding		RefSeq	True	False
XR_003306356	LOC102655032	CM009931.2	-	4	2106	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003306358	LOC102655032	CM009931.2	-	5	2353	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003306350	LOC102655032	CM009931.2	-	4	2028	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003306351	LOC102655032	CM009931.2	-	4	2546	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_397252	LOC413813	CM009931.2	+	6	1117	936	83	98	protein_coding		RefSeq	XP_397252	protein_coding		RefSeq	True	False
XM_392165	LOC408624	CM009931.2	+	19	5967	4248	564	1155	protein_coding		RefSeq	XP_392165	protein_coding		RefSeq	False	False
XM_006559849	LOC408624	CM009931.2	+	21	4622	3921	564	137	protein_coding		RefSeq	XP_006559912	protein_coding		RefSeq	False	False
XM_006559848	LOC408624	CM009931.2	+	19	5982	4263	564	1155	protein_coding		RefSeq	XP_006559911	protein_coding		RefSeq	False	False
XM_006559847	LOC408624	CM009931.2	+	19	5854	4275	424	1155	protein_coding		RefSeq	XP_006559910	protein_coding		RefSeq	False	False
XM_006559846	LOC408624	CM009931.2	+	20	5994	4275	564	1155	protein_coding		RefSeq	XP_006559909	protein_coding		RefSeq	True	False
XM_395043	LOC411572	CM009931.2	-	6	1741	1497	164	80	protein_coding		RefSeq	XP_395043	protein_coding		RefSeq	True	False
XM_624279	LOC551893	CM009931.2	+	3	817	573	30	214	protein_coding		RefSeq	XP_624282	protein_coding		RefSeq	True	False
XM_026443925	LOC113219119	CM009931.2	-	1	797	237	153	407	protein_coding		RefSeq	XP_026299710	protein_coding		RefSeq	True	False
XR_001703080	LOC102655515	CM009931.2	-	3	733	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_001703079	LOC102655515	CM009931.2	-	4	568	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_003305188	LOC102655515	CM009931.2	-	3	782	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_006571572	LOC100579021	CM009931.2	+	4	747	477	221	49	protein_coding		RefSeq	XP_006571635	protein_coding		RefSeq	True	False
XM_026441158	LOC100577039	CM009931.2	+	4	1275	906	0	369	protein_coding		RefSeq	XP_026296943	protein_coding		RefSeq	True	False
XM_026441156	LOC100577039	CM009931.2	+	5	1208	906	302	0	protein_coding		RefSeq	XP_026296941	protein_coding		RefSeq	False	False
XM_006563289	LOC724327	CM009931.2	-	5	765	681	21	63	protein_coding		RefSeq	XP_006563352	protein_coding		RefSeq	False	False
XM_001120148	LOC724327	CM009931.2	-	5	913	747	103	63	protein_coding		RefSeq	XP_001120148	protein_coding		RefSeq	True	False
XM_006563290	LOC724327	CM009931.2	-	5	734	642	29	63	protein_coding		RefSeq	XP_006563353	protein_coding		RefSeq	False	False
XM_016916853	LOC552374	CM009931.2	-	7	3325	1101	194	2030	protein_coding		RefSeq	XP_016772342	protein_coding		RefSeq	False	False
XM_026443566	LOC552374	CM009931.2	-	6	3131	921	180	2030	protein_coding		RefSeq	XP_026299351	protein_coding		RefSeq	False	False
XM_006569586	LOC552374	CM009931.2	-	7	3238	1080	128	2030	protein_coding		RefSeq	XP_006569649	protein_coding		RefSeq	False	False
XM_624748	LOC552374	CM009931.2	-	7	3768	1155	583	2030	protein_coding		RefSeq	XP_624751	protein_coding		RefSeq	True	False
XM_026438911	LOC409078	CM009931.2	-	8	2042	897	221	924	protein_coding		RefSeq	XP_026294696	protein_coding		RefSeq	False	False
XM_026438914	LOC409078	CM009931.2	-	7	1958	813	221	924	protein_coding		RefSeq	XP_026294699	protein_coding		RefSeq	False	False
XM_026438906	LOC409078	CM009931.2	-	8	2096	951	221	924	protein_coding		RefSeq	XP_026294691	protein_coding		RefSeq	True	False
XR_003304627	LOC102655442	CM009931.2	+	3	1328	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_407455	LOC102655442	CM009931.2	+	4	1189	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XM_016913096	LOC410726	CM009931.2	-	7	1545	1080	83	382	protein_coding		RefSeq	XP_016768585	protein_coding		RefSeq	False	False
XM_006568624	LOC410726	CM009931.2	-	8	1689	1080	227	382	protein_coding		RefSeq	XP_006568687	protein_coding		RefSeq	True	False
XM_006568623	LOC410726	CM009931.2	-	8	1684	1080	222	382	protein_coding		RefSeq	XP_006568686	protein_coding		RefSeq	False	False
XM_623810	LOC551418	CM009931.2	+	6	765	615	109	41	protein_coding		RefSeq	XP_623813	protein_coding		RefSeq	True	False
XR_408870	LOC102656333	CM009931.2	+	2	2236	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_026446067	LOC100578479	CM009931.2	-	3	1408	1254	154	0	protein_coding		RefSeq	XP_026301852	protein_coding		RefSeq	False	False
XM_003251434	LOC100578479	CM009931.2	-	2	1530	1254	276	0	protein_coding		RefSeq	XP_003251482	protein_coding		RefSeq	True	False
XM_623296	LOC550901	CM009931.2	+	8	1811	1155	226	430	protein_coding		RefSeq	XP_623299	protein_coding		RefSeq	True	False
XM_623553	LOC551158	CM009931.2	+	5	744	495	196	53	protein_coding		RefSeq	XP_623556	protein_coding		RefSeq	True	False
XM_026446057	LOC552497	CM009931.2	+	16	3614	2748	155	711	protein_coding		RefSeq	XP_026301842	protein_coding		RefSeq	True	False
XM_026446058	LOC552497	CM009931.2	+	17	3042	2748	155	139	protein_coding		RefSeq	XP_026301843	protein_coding		RefSeq	False	False
XM_026446060	LOC552497	CM009931.2	+	15	3441	2730	0	711	protein_coding		RefSeq	XP_026301845	protein_coding		RefSeq	False	False
XM_026446059	LOC552497	CM009931.2	+	17	3080	2748	155	177	protein_coding		RefSeq	XP_026301844	protein_coding		RefSeq	False	False
XM_026443464	LOC551762	CM009931.2	+	10	2488	1551	30	907	protein_coding		RefSeq	XP_026299249	protein_coding		RefSeq	False	False
XM_026443460	LOC551762	CM009931.2	+	11	2555	1599	49	907	protein_coding		RefSeq	XP_026299245	protein_coding		RefSeq	True	False
XM_026443470	LOC551762	CM009931.2	+	9	1540	1248	49	243	protein_coding		RefSeq	XP_026299255	protein_coding		RefSeq	False	False
XM_001120529	LOC724638	CM009931.2	-	3	393	195	106	92	protein_coding		RefSeq	XP_001120529	protein_coding		RefSeq	True	False
XM_392162	LOC408621	CM009931.2	+	4	793	672	30	91	protein_coding		RefSeq	XP_392162	protein_coding		RefSeq	True	False
XM_026446145	LOC100578281	CM009931.2	-	18	4636	4011	165	460	protein_coding		RefSeq	XP_026301930	protein_coding		RefSeq	False	False
XM_026446144	LOC100578281	CM009931.2	-	19	5086	4251	375	460	protein_coding		RefSeq	XP_026301929	protein_coding		RefSeq	True	False
XM_026444854	LOC102656429	CM009931.2	+	7	1813	1197	532	84	protein_coding		RefSeq	XP_026300639	protein_coding		RefSeq	False	False
XM_016913477	LOC102656429	CM009931.2	+	7	1452	1317	120	15	protein_coding		RefSeq	XP_016768966	protein_coding		RefSeq	True	False
XR_001703847	LOC725982	CM009931.2	+	14	3210	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_001121762	LOC725982	CM009931.2	+	13	3560	2913	164	483	protein_coding		RefSeq	XP_001121762	protein_coding		RefSeq	True	False
XR_003304185	LOC409937	CM009931.2	+	21	4278	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_016916358	LOC409937	CM009931.2	+	22	5187	4563	0	624	protein_coding		RefSeq	XP_016771847	protein_coding		RefSeq	False	False
XM_016916374	LOC409937	CM009931.2	+	19	3950	3813	0	137	protein_coding		RefSeq	XP_016771863	protein_coding		RefSeq	False	False
XM_006571240	LOC409937	CM009931.2	+	24	5040	4749	291	0	protein_coding		RefSeq	XP_006571303	protein_coding		RefSeq	False	False
XR_003304178	LOC409937	CM009931.2	+	24	5240	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_016916349	LOC409937	CM009931.2	+	23	5373	4749	0	624	protein_coding		RefSeq	XP_016771838	protein_coding		RefSeq	True	False
XR_001705600	LOC409937	CM009931.2	+	23	4534	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_016916372	LOC409937	CM009931.2	+	21	4183	4041	0	142	protein_coding		RefSeq	XP_016771861	protein_coding		RefSeq	False	False
XM_006571241	LOC409937	CM009931.2	+	24	4915	4749	166	0	protein_coding		RefSeq	XP_006571304	protein_coding		RefSeq	False	False
XR_003304180	LOC409937	CM009931.2	+	20	4100	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_016916371	LOC409937	CM009931.2	+	21	4273	4143	0	130	protein_coding		RefSeq	XP_016771860	protein_coding		RefSeq	False	False
XM_016912543	LOC725682	CM009931.2	-	4	1551	993	72	486	protein_coding		RefSeq	XP_016768032	protein_coding		RefSeq	True	False
XM_006563254	LOC725682	CM009931.2	-	5	2119	945	688	486	protein_coding		RefSeq	XP_006563317	protein_coding		RefSeq	False	False
XM_026439982	LOC725682	CM009931.2	-	4	1646	978	182	486	protein_coding		RefSeq	XP_026295767	protein_coding		RefSeq	False	False
XM_001121499	LOC725682	CM009931.2	-	5	1978	945	547	486	protein_coding		RefSeq	XP_001121499	protein_coding		RefSeq	False	False
XM_006561955	LOC725720	CM009931.2	+	9	2780	1584	1196	0	protein_coding		RefSeq	XP_006562018	protein_coding		RefSeq	False	False
XM_006561954	LOC725720	CM009931.2	+	9	2878	1605	1195	78	protein_coding		RefSeq	XP_006562017	protein_coding		RefSeq	True	False
XM_006571323	LOC550724	CM009931.2	+	8	3395	2241	291	863	protein_coding		RefSeq	XP_006571386	protein_coding		RefSeq	False	False
XM_623115	LOC550724	CM009931.2	+	10	3694	2727	104	863	protein_coding		RefSeq	XP_623118	protein_coding		RefSeq	False	False
XM_006571322	LOC550724	CM009931.2	+	9	3789	2727	199	863	protein_coding		RefSeq	XP_006571385	protein_coding		RefSeq	False	False
XM_016917814	LOC550724	CM009931.2	+	10	3810	2727	220	863	protein_coding		RefSeq	XP_016773303	protein_coding		RefSeq	True	False
XM_006563288	LOC410033	CM009931.2	+	4	836	393	240	203	protein_coding		RefSeq	XP_006563351	protein_coding		RefSeq	False	False
XM_026440705	LOC410033	CM009931.2	+	5	1525	402	242	881	protein_coding		RefSeq	XP_026296490	protein_coding		RefSeq	True	False
XR_003305225	LOC113218960	CM009931.2	+	2	2127	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_026446257	LOC551646	CM009931.2	-	7	3403	3288	115	0	protein_coding		RefSeq	XP_026302042	protein_coding		RefSeq	True	False
GeneID_732512_t1	GeneID_732512	CM009931.2	-	1	23	0	0	0	pre_miRNA	Mir9a	RefSeq		miRNA	Mir9a_t1	RefSeq	False	False
NR_031529	GeneID_732512	CM009931.2	-	1	87	0	0	0	pre_miRNA	Mir9a	RefSeq		pre_miRNA		RefSeq	True	False
NR_034293	GeneID_100315667	CM009931.2	+	1	100	0	0	0	miRNA	Mir33	RefSeq		pre_miRNA		RefSeq	True	False
GeneID_100315667_t1	GeneID_100315667	CM009931.2	+	1	19	0	0	0	miRNA	Mir33	RefSeq		miRNA	Mir33_t1	RefSeq	False	False
XM_394880	LOC411406	CM009931.2	+	4	1642	930	386	326	protein_coding		RefSeq	XP_394880	protein_coding		RefSeq	True	False
XM_003250183	LOC411406	CM009931.2	+	4	1597	888	383	326	protein_coding		RefSeq	XP_003250231	protein_coding		RefSeq	False	False
XR_001706144	LOC100576288	CM009931.2	-	3	3895	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706143	LOC100576288	CM009931.2	-	3	1321	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706160	LOC100576288	CM009931.2	-	4	2023	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706161	LOC100576288	CM009931.2	-	3	1735	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706150	LOC100576288	CM009931.2	-	4	3818	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706159	LOC100576288	CM009931.2	-	4	2030	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_411120	LOC100576288	CM009931.2	-	3	1997	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_006568108	LOC100576288	CM009931.2	-	5	1981	324	759	898	protein_coding		RefSeq	XP_006568171	protein_coding		RefSeq	True	False
XR_003304220	LOC100576288	CM009931.2	-	3	311	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_411122	LOC100576288	CM009931.2	-	3	1896	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_411121	LOC100576288	CM009931.2	-	3	1232	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_003304219	LOC100576288	CM009931.2	-	3	1865	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706157	LOC100576288	CM009931.2	-	4	1775	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706146	LOC100576288	CM009931.2	-	3	1230	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706149	LOC100576288	CM009931.2	-	3	3893	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706142	LOC100576288	CM009931.2	-	5	1991	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_411119	LOC100576288	CM009931.2	-	3	1986	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_411118	LOC100576288	CM009931.2	-	5	2226	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706145	LOC100576288	CM009931.2	-	3	3878	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706148	LOC100576288	CM009931.2	-	3	1167	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706155	LOC100576288	CM009931.2	-	3	1077	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XR_001706151	LOC100576288	CM009931.2	-	4	3801	0	0	0	protein_coding		RefSeq		nontranslating_CDS		RefSeq	False	False
XM_016911658	LOC412117	CM009931.2	-	13	4487	2883	726	878	protein_coding		RefSeq	XP_016767147	protein_coding		RefSeq	True	False
XM_016911665	LOC412117	CM009931.2	-	13	4467	2871	718	878	protein_coding		RefSeq	XP_016767154	protein_coding		RefSeq	False	False
XM_006570785	LOC412117	CM009931.2	-	13	4466	2871	717	878	protein_coding		RefSeq	XP_006570848	protein_coding		RefSeq	False	False
XM_006570786	LOC412117	CM009931.2	-	13	4442	2859	705	878	protein_coding		RefSeq	XP_006570849	protein_coding		RefSeq	False	False
XM_006557391	LOC408565	CM009931.2	+	10	2797	2280	95	422	protein_coding		RefSeq	XP_006557454	protein_coding		RefSeq	False	False
XM_016910832	LOC408565	CM009931.2	+	9	2705	2283	0	422	protein_coding		RefSeq	XP_016766321	protein_coding		RefSeq	True	False
XM_392109	LOC408565	CM009931.2	+	10	2378	2283	95	0	protein_coding		RefSeq	XP_392109	protein_coding		RefSeq	False	False
XM_026446325	LOC100578309	CM009931.2	-	5	1493	1236	226	31	protein_coding		RefSeq	XP_026302110	protein_coding		RefSeq	False	False
XM_026446326	LOC100578309	CM009931.2	-	5	1447	1236	180	31	protein_coding		RefSeq	XP_026302111	protein_coding		RefSeq	False	False
XM_016917825	LOC100578309	CM009931.2	-	4	1544	1377	136	31	protein_coding		RefSeq	XP_016773314	protein_coding		RefSeq	True	False
XM_624361	LOC551978	CM009931.2	+	5	997	732	105	160	protein_coding		RefSeq	XP_624364	protein_coding		RefSeq	True	False
XM_026444413	LOC100577197	CM009931.2	-	5	822	624	6	192	protein_coding		RefSeq	XP_026300198	protein_coding		RefSeq	True	False
XM_026444429	LOC100577197	CM009931.2	-	5	690	492	6	192	protein_coding		RefSeq	XP_026300214	protein_coding		RefSeq	False	False
XM_026444424	LOC100577197	CM009931.2	-	5	783	585	6	192	protein_coding		RefSeq	XP_026300209	protein_coding		RefSeq	False	False
XM_006570603	LOC552036	CM009931.2	+	6	2060	1302	474	284	protein_coding		RefSeq	XP_006570666	protein_coding		RefSeq	False	False
XM_624416	LOC552036	CM009931.2	+	6	2205	1581	474	150	protein_coding		RefSeq	XP_624419	protein_coding		RefSeq	True	False
XM_016912185	LOC409931	CM009931.2	-	4	2236	1155	955	126	protein_coding		RefSeq	XP_016767674	protein_coding		RefSeq	False	False
XM_393422	LOC409931	CM009931.2	-	4	2208	1230	952	26	protein_coding		RefSeq	XP_393422	protein_coding		RefSeq	True	False
XM_026443978	LOC102655185	CM009931.2	-	5	4419	3567	109	743	protein_coding		RefSeq	XP_026299763	protein_coding		RefSeq	False	False
XM_006560262	LOC102655185	CM009931.2	-	4	4464	3612	109	743	protein_coding		RefSeq	XP_006560325	protein_coding		RefSeq	True	False
XM_026443980	LOC102655185	CM009931.2	-	5	4374	3522	109	743	protein_coding		RefSeq	XP_026299765	protein_coding		RefSeq	False	False
XM_026443986	LOC102655185	CM009931.2	-	5	4287	3435	109	743	protein_coding		RefSeq	XP_026299771	protein_coding		RefSeq	False	False
XM_394209	LOC410733	CM009931.2	-	3	2417	1878	169	370	protein_coding		RefSeq	XP_394209	protein_coding		RefSeq	False	False
XM_003251100	LOC410733	CM009931.2	-	3	2358	1878	110	370	protein_coding		RefSeq	XP_003251148	protein_coding		RefSeq	False	False
XM_003251101	LOC410733	CM009931.2	-	3	2450	1878	202	370	protein_coding		RefSeq	XP_003251149	protein_coding		RefSeq	True	False
XM_026446313	LOC113219413	CM009931.2	+	3	505	399	0	106	protein_coding		RefSeq	XP_026302098	protein_coding		RefSeq	True	False
XM_026446339	LOC113219418	CM009931.2	+	3	675	321	159	195	protein_coding		RefSeq	XP_026302124	protein_coding		RefSeq	True	False
XR_001703089	LOC107964488	CM009931.2	-	2	2685	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_026441484	LOC724455	CM009931.2	-	9	2371	1545	553	273	protein_coding		RefSeq	XP_026297269	protein_coding		RefSeq	False	False
XM_026441485	LOC724455	CM009931.2	-	8	1940	1545	122	273	protein_coding		RefSeq	XP_026297270	protein_coding		RefSeq	False	False
XM_026441491	LOC724455	CM009931.2	-	8	1940	1545	122	273	protein_coding		RefSeq	XP_026297276	protein_coding		RefSeq	False	False
XM_026441465	LOC724455	CM009931.2	-	10	2495	1665	555	275	protein_coding		RefSeq	XP_026297250	protein_coding		RefSeq	True	False
XM_026441494	LOC724455	CM009931.2	-	9	2092	1665	152	275	protein_coding		RefSeq	XP_026297279	protein_coding		RefSeq	False	False
XM_026441501	LOC724455	CM009931.2	-	8	1967	1545	149	273	protein_coding		RefSeq	XP_026297286	protein_coding		RefSeq	False	False
XM_026441481	LOC724455	CM009931.2	-	9	2061	1665	121	275	protein_coding		RefSeq	XP_026297266	protein_coding		RefSeq	False	False
XM_026441487	LOC724455	CM009931.2	-	8	2124	1545	306	273	protein_coding		RefSeq	XP_026297272	protein_coding		RefSeq	False	False
XM_026441473	LOC724455	CM009931.2	-	9	2067	1665	127	275	protein_coding		RefSeq	XP_026297258	protein_coding		RefSeq	False	False
XM_026441492	LOC724455	CM009931.2	-	7	2010	1536	201	273	protein_coding		RefSeq	XP_026297277	protein_coding		RefSeq	False	False
XM_026441480	LOC724455	CM009931.2	-	9	2248	1665	308	275	protein_coding		RefSeq	XP_026297265	protein_coding		RefSeq	False	False
XM_003249619	LOC100578752	CM009931.2	-	4	3412	804	638	1970	protein_coding		RefSeq	XP_003249667	protein_coding		RefSeq	True	False
XM_026444334	LOC408623	CM009931.2	+	14	6883	1242	207	5434	protein_coding		RefSeq	XP_026300119	protein_coding		RefSeq	False	False
XM_026444358	LOC408623	CM009931.2	+	12	6986	1140	412	5434	protein_coding		RefSeq	XP_026300143	protein_coding		RefSeq	False	False
XM_026444355	LOC408623	CM009931.2	+	13	7037	1179	424	5434	protein_coding		RefSeq	XP_026300140	protein_coding		RefSeq	False	False
